EmployeeID,Department,Age,Gender,JobLevel,EducationLevel,YearsOfExperience,Salary,PerformanceScore,SatisfactionScore,OvertimeHours,TrainingHours,ProjectsCompleted,TeamSize,RemoteWorkDays,AttendanceRate,PromotionCount,OfficeLocation
EMP_0001,HR,33,Male,Entry,Bachelor,7,36726,4,1,8,60,1,4,3,0.86,2,Remote
EMP_0002,Engineering,39,Male,Senior,PhD,16,157617,1,2,19,12,11,8,2,0.895,5,New York
EMP_0003,Finance,27,Other,Mid,High School,2,91316,5,6,18,57,1,3,0,0.916,0,Austin
EMP_0004,Operations,22,Other,Mid,Bachelor,1,61452,1,1,12,14,1,10,4,0.901,0,Chicago
EMP_0005,Marketing,35,Female,Mid,PhD,11,73244,3,8,5,16,14,7,1,0.894,3,Chicago
EMP_0006,Operations,32,Female,Entry,PhD,6,45458,1,5,10,75,19,9,5,0.924,2,San Francisco
EMP_0007,Marketing,37,Female,Mid,Master,14,90645,3,10,12,28,19,6,5,0.887,4,San Francisco
EMP_0008,Engineering,25,Male,Entry,Bachelor,1,53795,5,5,19,51,13,9,3,0.895,0,Remote
EMP_0009,Marketing,51,Female,Senior,PhD,28,166713,2,3,8,40,11,7,4,0.889,5,New York
EMP_0010,Finance,28,Female,Entry,High School,6,57957,4,4,4,61,4,9,5,0.887,2,Remote
EMP_0011,Marketing,28,Female,Mid,Bachelor,2,82014,4,4,16,36,1,5,2,0.98,0,New York
EMP_0012,Engineering,40,Female,Senior,High School,15,152664,3,9,13,91,12,10,5,0.974,5,Chicago
EMP_0013,Engineering,27,Female,Entry,Master,1,51451,5,9,4,84,10,6,4,0.899,0,San Francisco
EMP_0014,Marketing,45,Male,Mid,Master,19,106138,4,7,8,65,13,6,1,0.885,5,Chicago
EMP_0015,HR,38,Male,Mid,PhD,16,98242,4,1,19,17,6,3,3,0.978,5,San Francisco
EMP_0016,Finance,22,Female,Entry,High School,1,50787,5,6,17,58,10,5,0,0.874,0,Remote
EMP_0017,Sales,34,Female,Entry,Master,8,61093,3,4,3,3,12,13,4,0.857,2,Chicago
EMP_0018,Sales,43,Other,Mid,PhD,19,104346,2,7,2,79,17,7,4,0.906,5,Austin
EMP_0019,Marketing,28,Other,Entry,Master,6,60606,4,5,6,45,19,6,3,0.862,2,New York
EMP_0020,Engineering,24,Male,Entry,High School,1,65672,1,3,15,40,18,10,1,0.996,0,San Francisco
EMP_0021,Marketing,26,Male,Entry,PhD,2,56250,4,3,12,49,16,5,5,0.85,0,San Francisco
EMP_0022,Engineering,29,Male,Mid,Bachelor,3,95418,1,6,15,62,14,12,3,0.959,1,New York
EMP_0023,Engineering,27,Male,Entry,PhD,4,63942,3,1,10,2,12,8,1,0.929,1,Remote
EMP_0024,Marketing,37,Male,Mid,PhD,12,74202,3,3,12,94,18,10,5,0.975,4,Austin
EMP_0025,Finance,39,Female,Senior,Bachelor,13,128193,4,2,1,17,7,9,1,0.971,4,Remote
